utc,forecast_MWh
20220929T06Z,2226
20220929T05Z,2396
20220929T04Z,2571
20220929T03Z,2661
20220929T02Z,2640
20220929T01Z,2635
20220929T00Z,2576
20220928T23Z,2533
20220928T22Z,2505
20220928T21Z,2501
20220928T20Z,2496
20220928T19Z,2516
20220928T18Z,2489
20220928T17Z,2467
20220928T16Z,2464
20220928T15Z,2408
20220928T14Z,2250
20220928T13Z,2024
20220928T12Z,1888
20220928T11Z,1847
20220928T10Z,1859
20220928T09Z,1921
20220928T08Z,2020
20220928T07Z,2236
20220928T06Z,2444
20220928T05Z,2650
20220928T04Z,2862
20220928T03Z,2994
20220928T02Z,2991
20220928T01Z,2997
20220928T00Z,2938
20220927T23Z,2867
20220927T22Z,2787
20220927T21Z,2719
20220927T20Z,2640
20220927T19Z,2548
20220927T18Z,2477
20220927T17Z,2458
20220927T16Z,2449
20220927T15Z,2445
20220927T14Z,2274
20220927T13Z,2060
20220927T12Z,1935
20220927T11Z,1916
20220927T10Z,1931
20220927T09Z,2000
20220927T08Z,2123
20220927T07Z,2334
20220927T06Z,2561
20220927T05Z,2776
20220927T04Z,2993
20220927T03Z,3135
20220927T02Z,3141
20220927T01Z,3160
20220927T00Z,3083
20220926T23Z,3007
20220926T22Z,2912
20220926T21Z,2821
20220926T20Z,2727
20220926T19Z,2619
20220926T18Z,2556
20220926T17Z,2498
20220926T16Z,2465
20220926T15Z,2415
20220926T14Z,2247
20220926T13Z,2022
20220926T12Z,1895
20220926T11Z,1863
20220926T10Z,1895
20220926T09Z,1936
20220926T08Z,2030
20220926T07Z,2261
20220926T06Z,2461
20220926T05Z,2662
20220926T04Z,2843
20220926T03Z,2949
20220926T02Z,2916
20220926T01Z,2869
20220926T00Z,2744
20220925T23Z,2615
20220925T22Z,2484
20220925T21Z,2373
20220925T20Z,2278
20220925T19Z,2213
20220925T18Z,2159
20220925T17Z,2111
20220925T16Z,2028
20220925T15Z,1927
20220925T14Z,1867
20220925T13Z,1797
20220925T12Z,1780
20220925T11Z,1784
20220925T10Z,1808
20220925T09Z,1847
20220925T08Z,1974
20220925T07Z,2097
20220925T06Z,2256
20220925T05Z,2408
20220925T04Z,2567
20220925T03Z,2660
20220925T02Z,2632
20220925T01Z,2599
20220925T00Z,2517
20220924T23Z,2432
20220924T22Z,2353
20220924T21Z,2290
20220924T20Z,2250
20220924T19Z,2193
20220924T18Z,2149
20220924T17Z,2131
20220924T16Z,2096
20220924T15Z,1996
20220924T14Z,1925
20220924T13Z,1857
20220924T12Z,1821
20220924T11Z,1822
20220924T10Z,1843
20220924T09Z,1895
20220924T08Z,1959
20220924T07Z,2057
20220924T06Z,2222
20220924T05Z,2372
20220924T04Z,2525
20220924T03Z,2604
20220924T02Z,2599
20220924T01Z,2599
20220924T00Z,2542
20220923T23Z,2490
20220923T22Z,2440
20220923T21Z,2414
20220923T20Z,2391
20220923T19Z,2351
20220923T18Z,2337
20220923T17Z,2347
20220923T16Z,2373
20220923T15Z,2331
20220923T14Z,2215
20220923T13Z,2012
20220923T12Z,1875
20220923T11Z,1823
20220923T10Z,1834
20220923T09Z,1890
20220923T08Z,1961
20220923T07Z,2123
20220923T06Z,2299
20220923T05Z,2490
20220923T04Z,2669
20220923T03Z,2757
20220923T02Z,2750
20220923T01Z,2767
20220923T00Z,2737
20220922T23Z,2702
20220922T22Z,2662
20220922T21Z,2634
20220922T20Z,2596
20220922T19Z,2584
20220922T18Z,2552
20220922T17Z,2489
20220922T16Z,2459
20220922T15Z,2401
20220922T14Z,2251
20220922T13Z,2030
20220922T12Z,1905
20220922T11Z,1872
20220922T10Z,1885
20220922T09Z,1927
20220922T08Z,2018
20220922T07Z,2175
20220922T06Z,2368
20220922T05Z,2563
20220922T04Z,2735
20220922T03Z,2812
20220922T02Z,2805
20220922T01Z,2797
20220922T00Z,2738
20220921T23Z,2674
20220921T22Z,2604
20220921T21Z,2553
20220921T20Z,2495
20220921T19Z,2450
20220921T18Z,2442
20220921T17Z,2429
20220921T16Z,2432
20220921T15Z,2399
20220921T14Z,2242
20220921T13Z,2035
20220921T12Z,1897
20220921T11Z,1879
20220921T10Z,1899
20220921T09Z,1986
20220921T08Z,2077
20220921T07Z,2250
20220921T06Z,2456
20220921T05Z,2674
20220921T04Z,2881
20220921T03Z,2988
20220921T02Z,3002
20220921T01Z,3010
20220921T00Z,2963
20220920T23Z,2888
20220920T22Z,2803
20220920T21Z,2727
20220920T20Z,2644
20220920T19Z,2554
20220920T18Z,2484
20220920T17Z,2460
20220920T16Z,2441
20220920T15Z,2401
20220920T14Z,2245
20220920T13Z,2033
20220920T12Z,1902
20220920T11Z,1869
20220920T10Z,1887
20220920T09Z,1967
20220920T08Z,2063
20220920T07Z,2224
20220920T06Z,2428
20220920T05Z,2640
20220920T04Z,2839
20220920T03Z,2936
20220920T02Z,2944
20220920T01Z,2955
20220920T00Z,2893
20220919T23Z,2824
20220919T22Z,2748
20220919T21Z,2669
20220919T20Z,2591
20220919T19Z,2514
20220919T18Z,2459
20220919T17Z,2412
20220919T16Z,2417
20220919T15Z,2378
20220919T14Z,2206
20220919T13Z,1970
20220919T12Z,1847
20220919T11Z,1805
20220919T10Z,1818
20220919T09Z,1853
20220919T08Z,1927
20220919T07Z,2118
20220919T06Z,2302
20220919T05Z,2494
20220919T04Z,2649
20220919T03Z,2714
20220919T02Z,2695
20220919T01Z,2665
20220919T00Z,2571
20220918T23Z,2477
20220918T22Z,2395
20220918T21Z,2335
20220918T20Z,2274
20220918T19Z,2226
20220918T18Z,2191
20220918T17Z,2145
20220918T16Z,2045
20220918T15Z,1907
20220918T14Z,1824
20220918T13Z,1779
20220918T12Z,1757
20220918T11Z,1757
20220918T10Z,1772
20220918T09Z,1810
20220918T08Z,1893
20220918T07Z,1957
20220918T06Z,2092
20220918T05Z,2217
20220918T04Z,2319
20220918T03Z,2346
20220918T02Z,2327
20220918T01Z,2304
20220918T00Z,2244
20220917T23Z,2188
20220917T22Z,2147
20220917T21Z,2135
20220917T20Z,2136
20220917T19Z,2111
20220917T18Z,2140
20220917T17Z,2144
20220917T16Z,2093
20220917T15Z,1979
20220917T14Z,1899
20220917T13Z,1826
20220917T12Z,1785
20220917T11Z,1771
20220917T10Z,1804
20220917T09Z,1847
20220917T08Z,1928
20220917T07Z,2005
20220917T06Z,2139
20220917T05Z,2270
20220917T04Z,2390
20220917T03Z,2461
20220917T02Z,2488
20220917T01Z,2512
20220917T00Z,2484
20220916T23Z,2461
20220916T22Z,2447
20220916T21Z,2448
20220916T20Z,2439
20220916T19Z,2413
20220916T18Z,2432
20220916T17Z,2412
20220916T16Z,2394
20220916T15Z,2339
20220916T14Z,2201
20220916T13Z,2014
20220916T12Z,1890
20220916T11Z,1843
20220916T10Z,1861
20220916T09Z,1921
20220916T08Z,2020
20220916T07Z,2116
20220916T06Z,2296
20220916T05Z,2490
20220916T04Z,2655
20220916T03Z,2720
20220916T02Z,2739
20220916T01Z,2753
20220916T00Z,2730
20220915T23Z,2693
20220915T22Z,2652
20220915T21Z,2626
20220915T20Z,2590
20220915T19Z,2551
20220915T18Z,2567
20220915T17Z,2532
20220915T16Z,2501
20220915T15Z,2456
20220915T14Z,2303
20220915T13Z,2095
20220915T12Z,1972
20220915T11Z,1920
20220915T10Z,1919
20220915T09Z,1992
20220915T08Z,2025
20220915T07Z,2176
20220915T06Z,2374
20220915T05Z,2592
20220915T04Z,2777
20220915T03Z,2853
20220915T02Z,2881
20220915T01Z,2901
20220915T00Z,2859
20220914T23Z,2812
20220914T22Z,2752
20220914T21Z,2704
20220914T20Z,2647
20220914T19Z,2614
20220914T18Z,2595
20220914T17Z,2556
20220914T16Z,2489
20220914T15Z,2436
20220914T14Z,2274
20220914T13Z,2048
20220914T12Z,1925
20220914T11Z,1878
20220914T10Z,1888
20220914T09Z,1928
20220914T08Z,2018
20220914T07Z,2159
20220914T06Z,2355
20220914T05Z,2577
20220914T04Z,2755
20220914T03Z,2832
20220914T02Z,2860
20220914T01Z,2877
20220914T00Z,2832
20220913T23Z,2783
20220913T22Z,2732
20220913T21Z,2701
20220913T20Z,2654
20220913T19Z,2608
20220913T18Z,2605
20220913T17Z,2576
20220913T16Z,2556
20220913T15Z,2504
20220913T14Z,2345
20220913T13Z,2120
20220913T12Z,1974
20220913T11Z,1947
20220913T10Z,1955
20220913T09Z,2013
20220913T08Z,2096
20220913T07Z,2221
20220913T06Z,2421
20220913T05Z,2656
20220913T04Z,2866
20220913T03Z,2961
20220913T02Z,3001
20220913T01Z,3010
20220913T00Z,2946
20220912T23Z,2893
20220912T22Z,2822
20220912T21Z,2760
20220912T20Z,2690
20220912T19Z,2652
20220912T18Z,2665
20220912T17Z,2658
20220912T16Z,2608
20220912T15Z,2528
20220912T14Z,2337
20220912T13Z,2112
20220912T12Z,1965
20220912T11Z,1944
20220912T10Z,1956
20220912T09Z,1995
20220912T08Z,2110
20220912T07Z,2348
20220912T06Z,2551
20220912T05Z,2771
20220912T04Z,2946
20220912T03Z,3022
20220912T02Z,3045
20220912T01Z,3006
20220912T00Z,2913
20220911T23Z,2819
20220911T22Z,2717
20220911T21Z,2626
20220911T20Z,2529
20220911T19Z,2451
20220911T18Z,2376
20220911T17Z,2290
20220911T16Z,2174
20220911T15Z,2053
20220911T14Z,1970
20220911T13Z,1925
20220911T12Z,1901
